time_signature,speechiness,danceability,duration_ms,energy,track_href,mode,uri,type,track_album_release_date,analysis_url,id,instrumentalness,valence,key,tempo,loudness,acousticness,liveness,Popularity_Type
4.0,0.0374,0.341,227658.0,0.609,https://api.spotify.com/v1/tracks/2W5oxA3ihrb6pjnjZRda4s,0.0,spotify:track:2W5oxA3ihrb6pjnjZRda4s,audio_features,2021-11-12,https://api.spotify.com/v1/audio-analysis/2W5oxA3ihrb6pjnjZRda4s,2W5oxA3ihrb6pjnjZRda4s,0.0,0.404,7.0,127.757,-7.684,0.108,0.193,Low
4.0,0.0867,0.854,128814.0,0.841,https://api.spotify.com/v1/tracks/6Aqy1k2h74VJRICxCN0N2W,1.0,spotify:track:6Aqy1k2h74VJRICxCN0N2W,audio_features,2023-07-04,https://api.spotify.com/v1/audio-analysis/6Aqy1k2h74VJRICxCN0N2W,6Aqy1k2h74VJRICxCN0N2W,0.655,0.139,7.0,108.082,-7.504,0.00753,0.173,Low
4.0,0.451,0.715,129997.0,0.319,https://api.spotify.com/v1/tracks/1eGHzlNpyXAsi4qKfm5z27,1.0,spotify:track:1eGHzlNpyXAsi4qKfm5z27,audio_features,2024-06-11,https://api.spotify.com/v1/audio-analysis/1eGHzlNpyXAsi4qKfm5z27,1eGHzlNpyXAsi4qKfm5z27,0.532,0.404,1.0,91.77,-11.433,0.73,0.253,Low
4.0,0.0454,0.85,147373.0,0.34,https://api.spotify.com/v1/tracks/05U8k9atnWlMKB4ltqrQ5k,1.0,spotify:track:05U8k9atnWlMKB4ltqrQ5k,audio_features,1996-03-01,https://api.spotify.com/v1/audio-analysis/05U8k9atnWlMKB4ltqrQ5k,05U8k9atnWlMKB4ltqrQ5k,0.869,0.781,9.0,121.01,-12.183,0.807,0.115,Low
4.0,0.211,0.464,163846.0,0.61,https://api.spotify.com/v1/tracks/78tFy3vJclsTgNS0AXqgWp,1.0,spotify:track:78tFy3vJclsTgNS0AXqgWp,audio_features,2023-12-08,https://api.spotify.com/v1/audio-analysis/78tFy3vJclsTgNS0AXqgWp,78tFy3vJclsTgNS0AXqgWp,0.000164,0.862,9.0,184.421,-6.638,0.414,0.203,Low
4.0,0.0709,0.587,180843.0,0.722,https://api.spotify.com/v1/tracks/780be5fB7823aHG06mwTat,0.0,spotify:track:780be5fB7823aHG06mwTat,audio_features,2020-10-09,https://api.spotify.com/v1/audio-analysis/780be5fB7823aHG06mwTat,780be5fB7823aHG06mwTat,0.668,0.466,2.0,121.964,-6.983,0.000754,0.543,High
4.0,0.0614,0.581,139384.0,0.647,https://api.spotify.com/v1/tracks/0GT2hQQ6mdHeW0AZDl5NlJ,0.0,spotify:track:0GT2hQQ6mdHeW0AZDl5NlJ,audio_features,2021-07-23,https://api.spotify.com/v1/audio-analysis/0GT2hQQ6mdHeW0AZDl5NlJ,0GT2hQQ6mdHeW0AZDl5NlJ,0.0502,0.257,11.0,117.737,-7.335,0.0778,0.304,High
3.0,0.033,0.53,157147.0,0.406,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy,1.0,spotify:track:51rfRCiUSvxXlCSCfIztBy,audio_features,2024-06-21,https://api.spotify.com/v1/audio-analysis/51rfRCiUSvxXlCSCfIztBy,51rfRCiUSvxXlCSCfIztBy,0.0,0.338,10.0,115.94,-7.507,0.656,0.133,High
4.0,0.0325,0.675,239926.0,0.708,https://api.spotify.com/v1/tracks/40UBIQiUwe6Or8rUKRlG0N,0.0,spotify:track:40UBIQiUwe6Or8rUKRlG0N,audio_features,2022-10-07,https://api.spotify.com/v1/audio-analysis/40UBIQiUwe6Or8rUKRlG0N,40UBIQiUwe6Or8rUKRlG0N,0.0841,0.586,8.0,119.988,-7.42,0.0132,0.0898,Low
4.0,0.0798,0.428,199737.0,0.943,https://api.spotify.com/v1/tracks/2U64TRs9DKbGzs2fPxSGdx,1.0,spotify:track:2U64TRs9DKbGzs2fPxSGdx,audio_features,2024-01-27,https://api.spotify.com/v1/audio-analysis/2U64TRs9DKbGzs2fPxSGdx,2U64TRs9DKbGzs2fPxSGdx,0.0,0.605,0.0,152.041,-4.129,0.00162,0.814,Low
